,Cluster_0,Cluster_1,Cluster_2,Cluster_3
1556837_a_at,4.906890596000009,1.1471725000000002,1.3034111111111106,4.906890596000023
1558757_at,4.906890596000009,1.5239724999999997,1.3578555555555556,4.906890596000023
1555665_at,4.906890596000009,0.8633750000000001,1.6500666666666663,4.906890596000023
1552913_at,4.906890596000009,1.2274875,2.7232472222222217,4.90722866946691
1552623_at,8.149004894320756,8.131272500000001,8.620758333333335,9.024018805241727
1555817_s_at,4.906890596000009,0.8625025000000003,2.3362499999999997,4.906890596000023
1553982_a_at,6.080470666553466,6.176260000000001,6.3213333333333335,6.6749251047781515
1556287_a_at,4.906890596000009,1.3927075000000004,1.5965972222222222,4.906890596000023
1553075_a_at,4.906890596000009,1.3126650000000002,1.7767361111111113,4.906890596000023
1552713_a_at,5.63283499284906,6.4359850000000005,6.1439611111111105,6.18795850426159
1558900_at,4.906890596000009,1.8196125000000003,1.3715861111111112,4.906890596000023
1552393_at,4.9094554131698205,1.07223,2.154783333333333,4.907969305142407
1557566_at,4.908468970672965,1.2831150000000002,2.1308166666666666,4.910822366678831
1556579_s_at,6.625890660496857,7.2121325,7.068122222222224,7.482632833884108
1557604_at,4.906890596000009,1.3994499999999999,1.628838888888889,4.906890596000023
1559280_a_at,4.906890596000009,0.842875,2.3897666666666666,4.9120861144934
1557468_at,4.906890596000009,1.2163799999999996,1.7498250000000002,4.906890596000023
1558144_at,4.906890596000009,0.79868,1.941805555555556,4.908452255029824
1556371_at,4.907644743566047,1.1120749999999997,1.9307333333333334,4.906890596000023
1557057_a_at,4.906890596000009,1.4190075,1.7835,4.906890596000023
1553604_at,4.9231464741195055,3.0316375,2.0492472222222218,4.973371708135783
1554438_at,4.906890596000009,1.5123875000000002,1.7926916666666668,4.9352674316026715
1558828_s_at,4.906890596000009,0.9662650000000002,1.7199805555555554,4.906890596000023
1558764_at,4.906890596000009,1.2539,1.6458500000000003,4.906890596000023
1555510_at,4.907304445421392,1.4680024999999999,1.6681527777777778,4.906890596000023
1554976_a_at,4.906890596000009,0.9270074999999997,1.957666666666667,4.906890596000023
1558867_at,4.908954719477997,0.6754975000000002,3.3264166666666664,4.930630649662275
1558848_at,4.906890596000009,0.9090200000000002,1.7390083333333328,4.906890596000023
1552673_at,4.911002698880512,0.8988075000000002,2.202538888888889,4.907198905284791
1557598_at,4.906890596000009,1.7605025,1.5614916666666667,4.908632545705322
1555224_at,4.906890596000009,1.06243,1.725452777777778,4.906890596000023
1552760_at,4.906890596000009,1.123625,2.072655555555555,4.907474446238433
1556711_at,4.906890596000009,1.1198925000000002,1.7778555555555553,4.906890596000023
1554485_s_at,4.9110487594968655,0.9529099999999998,1.7986861111111112,4.908371186536447
1553451_at,4.906890596000009,1.1022849999999997,1.6332027777777771,4.906890596000023
1558549_s_at,6.973752980144656,6.442800000000001,6.305111111111111,6.013178109135769
1556328_at,4.906890596000009,1.23098,2.573383333333333,4.949739438400684
1556558_s_at,4.907040575509443,0.9814975,2.0049333333333332,4.906890596000023
1554481_a_at,5.75114607287422,6.478752500000001,6.299447222222222,6.479463849814576
1553188_s_at,4.906890596000009,0.9046700000000003,1.8494388888888886,4.906890596000023
1555646_at,4.906890596000009,1.4191449999999997,1.6992500000000001,4.906890596000023
1554375_a_at,4.906890596000009,1.3398249999999998,1.4237694444444442,4.906890596000023
1554714_at,4.906890596000009,1.2205725,1.3911138888888892,4.906890596000023
1557891_s_at,4.909409702471707,1.4415500000000006,1.5116416666666668,4.906890596000023
1556901_s_at,4.906890596000009,1.2875249999999998,1.6648638888888887,4.906890596000023
1557424_at,4.906890596000009,1.2600950000000002,2.0838638888888896,4.911070112466911
1556912_at,4.906890596000009,1.020105,2.2192083333333326,4.908388907284791
